[ 2020-08-27T13:12:12+00:00 ] INFO    - Getting placename: hvd_567 in format json
[ 2020-08-27T13:12:12+00:00 ] INFO    - Getting placename: hvd_33305 in format json
[ 2020-08-27T13:12:12+00:00 ] INFO    - Getting placename: hvd_1600 in format json
[ 2020-08-27T13:12:13+00:00 ] INFO    - Getting placename: hvd_9669 in format json
[ 2020-08-27T13:12:13+00:00 ] INFO    - Getting placename: hvd_1021 in format json
[ 2020-08-27T13:12:13+00:00 ] INFO    - Getting placename: hvd_82060 in format json
[ 2020-08-27T13:12:13+00:00 ] INFO    - Getting placename: hvd_33054 in format json
[ 2020-08-27T13:12:13+00:00 ] INFO    - Getting placename: hvd_1117 in format json
[ 2020-08-27T13:12:13+00:00 ] INFO    - Getting placename: hvd_111058 in format json
[ 2020-08-27T13:12:13+00:00 ] INFO    - Getting placename: hvd_932 in format json
[ 2020-08-27T13:12:13+00:00 ] INFO    - Getting placename: hvd_1120 in format json
[ 2020-08-27T13:12:13+00:00 ] INFO    - Getting placename: hvd_1119 in format json
[ 2020-08-27T13:12:13+00:00 ] INFO    - Getting placename: hvd_40295 in format json
[ 2020-08-27T13:12:13+00:00 ] INFO    - Getting placename: hvd_1136 in format json
[ 2020-08-27T13:12:14+00:00 ] INFO    - Getting placename: hvd_44778 in format json
[ 2020-08-27T13:12:14+00:00 ] INFO    - Getting placename: hvd_125 in format json
[ 2020-08-27T13:12:14+00:00 ] INFO    - Getting placename: hvd_400 in format json
[ 2020-08-27T13:12:14+00:00 ] INFO    - Getting placename: hvd_9756 in format json
[ 2020-08-27T13:12:14+00:00 ] INFO    - Getting placename: hvd_9662 in format json
[ 2020-08-27T13:12:14+00:00 ] INFO    - Getting placename: hvd_42000 in format json
[ 2020-08-27T13:12:14+00:00 ] INFO    - Getting placename: hvd_44188 in format json
[ 2020-08-27T13:12:14+00:00 ] INFO    - Getting placename: hvd_539 in format json
[ 2020-08-27T13:12:14+00:00 ] INFO    - Getting placename: hvd_32042 in format json
[ 2020-08-27T13:12:14+00:00 ] INFO    - Getting placename: hvd_111892 in format json
[ 2020-08-27T13:12:14+00:00 ] INFO    - Getting placename: hvd_82432 in format json
[ 2020-08-27T13:12:14+00:00 ] INFO    - Getting placename: hvd_770 in format json
[ 2020-08-27T13:12:14+00:00 ] INFO    - Getting placename: hvd_9633 in format json
[ 2020-08-27T13:12:15+00:00 ] INFO    - Getting placename: hvd_110961 in format json
[ 2020-08-27T13:12:15+00:00 ] INFO    - Getting placename: hvd_9779 in format json
[ 2020-08-27T13:12:15+00:00 ] INFO    - Getting placename: hvd_111626 in format json
[ 2020-08-27T13:12:15+00:00 ] INFO    - Getting placename: hvd_82546 in format json
[ 2020-08-27T13:12:15+00:00 ] INFO    - Getting placename: hvd_33312 in format json
[ 2020-08-27T13:12:15+00:00 ] INFO    - Getting placename: hvd_32343 in format json
[ 2020-08-27T13:12:15+00:00 ] INFO    - Getting placename: hvd_116098 in format json
[ 2020-08-27T13:12:15+00:00 ] INFO    - Getting placename: hvd_33532 in format json
[ 2020-08-27T13:12:15+00:00 ] INFO    - Getting placename: hvd_43415 in format json
[ 2020-08-27T13:12:15+00:00 ] INFO    - Getting placename: hvd_561 in format json
[ 2020-08-27T13:12:15+00:00 ] INFO    - Getting placename: hvd_112020 in format json
[ 2020-08-27T13:12:15+00:00 ] INFO    - Getting placename: hvd_9539 in format json
[ 2020-08-27T13:12:15+00:00 ] INFO    - Getting placename: hvd_1140 in format json
[ 2020-08-27T13:12:15+00:00 ] INFO    - Getting placename: hvd_94077 in format json
[ 2020-08-27T13:12:15+00:00 ] INFO    - Getting placename: hvd_86026 in format json
[ 2020-08-27T13:12:15+00:00 ] INFO    - Getting placename: hvd_87989 in format json
[ 2020-08-27T13:12:15+00:00 ] INFO    - Getting placename: hvd_88008 in format json
